,Name,Deck
0,ryan antonucci,Gardevoir
1,aidan khus,Lost Zone Box
2,ian robb,Giratina LZ Box
3,jose marzan,Roaring Moon
4,raymond long,Gardevoir
5,tyler mathews,Entei Iron Valiant
6,kamal crooks-valdez,Roaring Moon
7,jackson ford,Giratina LZ Box
8,azul garcia griego,Lost Zone Box
9,jw kriewall,Roaring Moon
10,michael ginchereau,Lost Box Charizard
11,isaiah cheville,Charizard
12,rowan stavenow,Gardevoir
13,edwin arrollo,Gardevoir
14,adam reinhardt,Miraidon Flaaffy
15,jared grimes,Chien-Pao Baxcalibur
16,paul miller,Giratina LZ Box
17,piper lepine,Lost Box Paradox
18,dean nezam,Lost Zone Box
19,rafal gladysz,Roaring Moon
20,jac carter,Giratina LZ Box
21,jesse parker,Roaring Moon
22,brandon salazar,Gardevoir
23,conner hurst,Roaring Moon
24,sammy allen,Roaring Moon
25,grant hays,Giratina LZ Box
26,alec ward,Miraidon Flaaffy
27,kevin krueger,Miraidon
28,simon copenhaver,Giratina LZ Box
29,matthew wood,Gholdengo
30,lucas xing,Chien-Pao Baxcalibur
31,grant walworth,Lost Box Charizard
32,kyle sanchez,Charizard
33,nathan ginsburg,Lost Zone Box
34,kenneth albin,Giratina LZ Box
35,yakira tate,Roaring Moon
36,luke morsa,Gardevoir
37,landen kaetler,Arceus
38,hunter butler,Charizard
39,gavin zhou,Gardevoir
40,connor finton,Roaring Moon
41,kaden brent,Giratina LZ Box
42,guy bennett,Roaring Moon
43,caleb rogerson,Charizard
44,bradley dalton,Charizard
45,alex krekeler,Inteleon Urshifu
46,regan retzloff,Chien-Pao Baxcalibur
47,sebastian moceri,Roaring Moon
48,sawyer melban,Lost Zone Box
49,isaac windham-johnson,Mew Genesect
50,michael canaves,Charizard
51,andrew hedrick,Giratina LZ Box
52,austin roop,Mew Genesect
53,alex hamilton,Gardevoir
54,caleb gedemer,Lost Zone Box
55,tony tu,Mew Genesect
56,trenton staley,Snorlax Pidgeot
57,ciaran farah,Chien-Pao Baxcalibur
58,jacob eye,Lost Box Charizard
59,chris brewer,Lost Box Paradox
60,greg kerien,Entei Iron Valiant
61,russell monteiro,Chien-Pao Baxcalibur
62,noah sawyer,Entei Iron Valiant
63,brandon ruetschle,Charizard
64,jeff jones,Roaring Moon
65,alex pearce,Giratina LZ Box
66,patrick sweany,Giratina LZ Box
67,makani tran,Arceus
68,carlos lemus,Roaring Moon
69,tom nardello,Lost Box Paradox
70,alex wilson,Mew Genesect
71,david keener,Lost Zone Box
72,nathan flanders,Mew Genesect
73,ryan thomas,Roaring Moon
74,ben dobberstein,Roaring Moon
75,james hart,Mew Genesect
76,logan nelson,Gholdengo
77,matthew padget,Roaring Moon
78,damian barajas,Giratina LZ Box
79,alex hill,Charizard
80,eddie north,Gardevoir
81,michael meal,Gardevoir
82,connor woolf,Miraidon
83,eric correa,Roaring Moon
84,ryan prusak,Snorlax Stall
85,evan aronhalt,Giratina LZ Box
86,jon eng,Giratina LZ Box
87,rahul reddy,Giratina LZ Box
88,ian mcgregor,Gardevoir
89,christian moreno,Chien-Pao Baxcalibur
90,nathan bishop,Gholdengo
91,hal stewart,Gholdengo
92,brandon joestar,Roaring Moon
93,justin turner,Gardevoir
94,lukas gindt,Giratina LZ Box
95,michael diaz,Lost Zone Box
96,brendan cevasco,Miraidon
97,michael pramawat,Giratina LZ Box
98,nicholas moses,Roaring Moon
99,jacob walton,Arceus
100,jacob peltier,Roaring Moon
101,eric ridgeway,Lost Box Charizard
102,omar taha,Gardevoir
103,anthony salomone,Snorlax Stall
104,austin daniels,Klawf Electrode
105,derrick schwarz,Charizard
106,james jason,Klawf Electrode
107,alec geissler,Lugia Archeops
108,mac currie,Roaring Moon
109,ryan ginsburg,Snorlax Stall
110,jack basmaci,Giratina LZ Box
111,jesse bronson,Roaring Moon
112,tyler perry,Giratina LZ Box
113,tj ortiz,Lost Box Charizard
114,jay cristiano,Roaring Moon
115,austin myers,Charizard
116,brannon oiler,Lost Zone Box
117,hector ibarra,Giratina LZ Box
118,travis beckwith,Arceus
119,vaughn o'brien,Charizard
120,dean marsh,Charizard
121,justin gilbert,Mew Genesect
122,bryce johnson,Roaring Moon
123,liam alon,Roaring Moon
124,conner lavelle,Charizard
125,garrison bratton,Mew Genesect
126,taylor duffin,Snorlax Stall
127,greg minklei,Snorlax Stall
128,alex rubin,Giratina LZ Box
129,scott knell,Snorlax Stall
130,isaiah marks,Lost Box Paradox
131,amy jones,Charizard Arceus
132,kyle tokarczyk,Roaring Moon
133,benjamin grove,Charizard
134,brandon flowers,Gardevoir
135,muhamed palatinus,Roaring Moon
136,billy chan,Charizard
137,dylan gunn,Giratina LZ Box
138,josh maline,Giratina LZ Box
139,brian peavy,Roaring Moon
140,joseph tanguay,Charizard
141,dalen dockery,Roaring Moon
142,steven lavoie,Gardevoir
