,Name,Deck
0,jon eng,Giratina LZ Box
1,samuel hough,Giratina LZ Box
2,maddox corcoran,Fusion Mew
3,bodhi robinson,Gardevoir
4,nicholas moffitt,Miraidon Flaaffy
5,makani tran,Arceus
6,azul garcia griego,Charizard
7,ian robb,Mew Genesect
8,keaton gill,Charizard
9,dan hugar,Giratina LZ Box
10,justin teng,Lost Box Charizard
11,vance kelley,Mew Genesect
12,mario martinez,Mew Genesect
13,nicolas gist,Fusion Mew
14,yosha riley,Inteleon Urshifu
15,terrence miller,Mew Genesect
16,stefan tabaco,Gardevoir
17,hector ibarra,Giratina LZ Box
18,bradley sumoge,Giratina LZ Box
19,hale obernolte,Snorlax Pidgeot
20,tanner drabek,Giratina LZ Box
21,raymond liu,Roaring Moon
22,manuel soto,Arceus Serperior
23,jared grimes,Chien-Pao Baxcalibur
24,justin tse,Gardevoir
25,calvin connor,Snorlax Stall
26,simon copenhaver,Giratina LZ Box
27,xavier clark,Charizard
28,jim her,Lost Zone Box
29,connor pedersen,Lost Zone Box
30,josh fernando,Miraidon
31,james simms,Charizard
32,ross cawthon,Roaring Moon
33,grant manley,Charizard
34,riley hulbert,Inteleon Urshifu
35,joseph rodriguez,Giratina LZ Box
36,jordan dumlao,Charizard
37,michael davidson,Gardevoir
38,david gade,Miraidon Flaaffy
39,joaquín rico,Mew Genesect
40,tyler mccutchan,Roaring Moon
41,lucas xing,Giratina LZ Box
42,isaiah bradner,Giratina LZ Box
43,lucas thiele,Fusion Mew
44,tyler mathews,Entei Iron Valiant
45,paul abarca,Gholdengo
46,beau fleetwood,Giratina LZ Box
47,michael natto,Charizard
48,eric brooks,Lost Box Paradox
49,michael diaz,Lost Zone Box
50,rowan stavenow,Gardevoir
51,stephen lowe,Snorlax Stall
52,wyatt ralston,Giratina LZ Box
53,ryan mefford,Snorlax Stall
54,arjun khadse,Gardevoir
55,michael meal,Gardevoir
56,emmet hurley,Giratina LZ Box
57,ben dobberstein,Miraidon
58,velen ricci,Giratina LZ Box
59,joe turrentine,Arceus
60,daniel evans,Giratina LZ Box
61,derek hu,Charizard
62,sean burns,Giratina LZ Box
63,daniel dempster,Giratina LZ Box
64,travis beckwith,Mew Genesect
65,chris brewer,Lost Box Paradox
66,mitchel silva,Giratina LZ Box
67,kevin clemente,Charizard
68,philip nguyen,Gardevoir
69,dylan smeigh,Giratina LZ Box
70,devin gude,Charizard
71,andy zhang,Chien-Pao Baxcalibur
72,joshua sanstrum,Giratina LZ Box
73,jack saunders,Giratina LZ Box
74,elliot gantner,Inteleon Urshifu
75,joseph chigbrow,Giratina LZ Box
76,alex mcneill,Lost Box Paradox
77,german herrera,Fusion Mew
78,cole rosario,Miraidon Flaaffy
79,bennie pell,Roaring Moon
80,joey gaffney,Lost Box Paradox
81,leandro cortez,Chien-Pao Baxcalibur
82,ray chen,Iron Valiant Box
83,john mostowy,Lost Zone Box
84,benjamin chang,Gardevoir
85,bradley ireland,Gardevoir
86,nicolas galli,Giratina LZ Box
87,brandon salazar,Inteleon Urshifu
88,james musser,Klawf Electrode
89,hasan kunukcu,Gardevoir
90,atomos billings,Miraidon
91,jose villarreal,Lost Box Paradox
92,harrison frazier,Charizard
93,iyla sutherland,Giratina LZ Box
94,johnson li,Miraidon Flaaffy
95,jonathan ramirez,Lost Box Charizard
96,gerald chavez,Charizard
97,austin drake,Giratina LZ Box
98,franxl zaragoza,Gholdengo
99,blake zeller,Charizard
100,erik arts,Gardevoir
101,matthew stratford,Arceus
102,brian myers,Arceus Giratina
103,devin ardissono,Charizard
104,dominic viola,Lost Zone Box
105,charlie kerr,Charizard
106,braiden elfert,Palkia
107,scarlet harris,Giratina LZ Box
108,mauricio martinez,Charizard
109,evan jensen,Charizard
110,trenton staley,Snorlax Stall
111,le bui,Miraidon
112,aaron santos,Roaring Moon
113,avery phimmasehn,Inteleon Urshifu
114,brandon baughn,Roaring Moon
115,trenton fuller,Charizard
116,gibson archer-tang,Snorlax Pidgeot
117,chad ross,Charizard
118,hunter slack,Giratina LZ Box
119,tyler herrmann,Charizard
120,alex green,Giratina LZ Box
121,danny prather,Charizard
122,nick sheffer,Roaring Moon
123,ethan yi,Giratina LZ Box
124,sean pluto,Inteleon Urshifu
125,kolton munson,Urshifu Iron Valiant
126,eric ridgeway,Palkia
127,pedro estrada,Entei Iron Valiant
128,rain keuma,Fusion Mew
129,alex kim,Charizard
130,matthew rhee,Fusion Mew
131,neil kimball,Roaring Moon
132,matthew connors,Giratina LZ Box
133,andrew scott,Snorlax Pidgeot
134,chris stotts,Lost Box Charizard
135,joseph sanchez,Giratina LZ Box
136,harrison dollar,Gardevoir
137,peter demartino,Klawf Electrode
138,anthony zheng,Mew Genesect
139,caitlin white,Gardevoir
140,christian galvan,Gardevoir
141,tanner mason,Mew Genesect
142,christopher osborn,Charizard
143,nic stewart,Giratina LZ Box
144,tony vuong,Gholdengo
145,gabriel tinio,Inteleon Urshifu
146,nick morin,Roaring Moon
147,jac carter,Giratina LZ Box
148,grant shen,Charizard
149,jonathyn kramer,Lost Box Paradox
150,daiki kumasegawa,Charizard
